iter	Passed	Remaining
0	93	93172
1	191	95482
2	197	65499
3	293	73034
4	392	78014
5	491	81415
6	497	70566
7	593	73598
8	692	76300
9	791	78383
10	809	72794
11	991	81592
12	996	75677
13	1094	77067
14	1191	78233
15	1197	73628
16	1293	74777
17	1391	75922
18	1397	72157
19	1493	73165
20	1591	74198
21	1691	75184
22	1790	76061
23	1796	73052
24	1892	73807
25	1991	74613
26	2090	75348
27	2189	76021
28	2195	73519
29	2291	74088
30	2390	74727
31	2402	72687
32	2492	73050
33	2591	73636
34	2690	74170
35	2696	72193
36	2792	72676
37	2891	73208
38	2990	73680
39	3087	74109
40	3093	72363
41	3189	72760
42	3195	71123
43	3291	71521
44	3391	71975
45	3490	72382
46	3591	72823
47	3689	73183
48	3789	73546
49	3887	73861
50	3893	72449
51	3989	72737
52	4007	71604
53	4091	71669
54	4189	71978
55	4287	72270
56	4301	71158
57	4390	71315
58	4490	71622
59	4588	71894
60	4606	70916
61	4691	70973
62	4790	71251
63	4889	71506
64	4988	71761
65	5000	70769
66	5090	70888
67	5188	71118
68	5206	70252
69	5290	70289
70	5390	70529
71	5407	69693
72	5491	69728
73	5590	69951
74	5688	70155
75	5693	69226
76	5789	69400
77	5888	69603
78	5987	69807
79	5993	68925
80	6089	69087
81	6188	69284
82	6288	69471
83	6385	69634
84	6391	68800
85	6488	68954
86	6587	69126
87	6592	68324
88	6688	68467
89	6706	67806
90	6788	67812
91	6888	67989
92	6987	68148
93	7085	68289
94	7090	67549
95	7188	67696
96	7287	67840
97	7305	67236
98	7389	67252
99	7488	67398
100	7588	67547
101	7687	67677
102	7786	67809
103	7792	67133
104	7888	67243
105	7988	67372
106	8087	67498
107	8186	67616
108	8284	67721
109	8290	67075
110	8388	67185
111	8488	67300
112	8586	67401
113	8687	67515
114	8786	67617
115	8792	67001
116	8887	67076
117	8986	67168
118	9085	67266
119	9185	67360
120	9192	66777
121	9288	66843
122	9386	66928
123	9392	66355
124	9489	66423
125	9587	66501
126	9685	66581
127	9691	66026
128	9787	66084
129	9887	66168
130	9985	66241
131	10085	66318
132	10103	65860
133	10187	65836
134	10285	65903
135	10384	65973
136	10390	65450
137	10486	65503
138	10585	65570
139	10684	65633
140	10690	65131
141	10786	65176
142	10885	65235
143	10985	65300
144	10991	64809
145	11086	64849
146	11186	64909
147	11285	64965
148	11382	65011
149	11388	64534
150	11485	64579
151	11584	64630
152	11591	64167
153	11686	64199
154	11784	64246
155	11884	64295
156	11889	63841
157	11986	63878
158	12085	63924
159	12184	63967
160	12282	64005
161	12288	63564
162	12384	63592
163	12483	63636
164	12583	63679
165	12589	63249
166	12685	63276
167	12785	63316
168	12883	63350
169	12889	62930
170	12985	62954
171	13085	62991
172	13183	63021
173	13189	62611
174	13287	62642
175	13384	62664
176	13483	62695
177	13582	62724
178	13588	62324
179	13684	62340
180	13783	62368
181	13882	62397
182	13888	62006
183	13984	62020
184	14082	62040
185	14180	62058
186	14186	61677
187	14282	61689
188	14288	61311
189	14385	61328
190	14483	61345
